class_name,subject,topic,question,answer,correct
IX,Science,Work and Energy,<p>When a wave goes from one point to another in a medium, there is a transfer of</p>,|Energy but not of mass|Mass but not of energy|Both mass and energy|Neither mass nor energy,Energy but not of mass
IX,Science,Work and Energy,<p>A 5,000 N block was lifted 10 m. How much work was done?</p>,|5,000 J|50,000 J|500 J|50 J,50,000 J
IX,Science,Work and Energy,<p><img style="height: auto !important; max-width: 516px;" src="http://qbimg.simplylearnt.com/weekly_questions/ntse/science/chemistry/chemistry_test_05_questions/ques3.gif" alt="" width="100%" /></p>,|5 kW|10 kW|5.5 kW|None of these,5 kW
IX,Science,Work and Energy,<p>Name the four simple machines.</p>,|inclined plane, lever, wheel and axle, and pulley|wedge, lever, pulley, and wheel|plane, lever, screw, and wedge|screw, lever, wedge, and plane,inclined plane, lever, wheel and axle, and pulley
IX,Science,Work and Energy,<p>Power is measured by which units?</p>,|newton-meters|watts|newtons|joules,watts
IX,Science,Work and Energy,<p>Mechanical advantage is equal to</p>,|input force times output force|input force divided by output force|output force divided by input force|output force times input force,output force divided by input force
IX,Science,Work and Energy,<p>Total mechanical energy is defined as</p>,|Kinetic energy|Potential energy|The sum of the kinetic and potential energy|The sum of the change of the kinetic and potential energy,The sum of the kinetic and potential energy
IX,Science,Work and Energy,<p>The efficiency of all machines is</p>,|less than 100 percent|impossible to calculate|exactly 100 percent|more than 100 percent,less than 100 percent
IX,Science,Work and Energy,<p>What happens to the amount of power expended when you are climbing stairs and then climb faster?</p>,|It stops.|it increases.|It decreases.|It stays the same.,it increases.
IX,Science,Work and Energy,<p>What happens to the amount of power expended when you are climbing stairs and then climb faster?</p>,|It stops.|It increases.|It decreases|It stays the same.,It increases.
IX,Science,Work and Energy,<p>What is the scientific formula for work?</p>,|W = F x d|W = F/d|W = F - d|W = F + d,W = F x d
IX,Science,Work and Energy,<p>On what point does a lever pivot?</p>,|the end|the arm|the middle|the fulcrum,the fulcrum
IX,Science,Work and Energy,<p>Newton-meter is the SI unit of</p>,|Acceleration|Work|Power|Force,Work
